,page_url,image_url,author,title,annotation
0,https://www.chitai-gorod.ru/product/esli-vse-koshki-v-mire-ischeznut-poket-2968841,https://content.img-gorod.ru/pim/products/images/62/62/018f6126-5d0b-7c18-bf91-0a33660d6262.jpg?width=304&height=438&fit=bounds,Гэнки Кавамура,Если все кошки в мире исчезнут (покет),"Международный феномен, проданный тиражом более двух миллионов экземпляров! Это согревающая, забавная и глубокая книга о смысле жизни.  Дни молодого почтальона сочтены. Оторванный от своей семьи и живущий один с со своим котом Капустой, он не был готов к страшному диагнозу: жить ему осталось всего несколько месяцев. Но прежде чем он сможет привести свои дела в порядок, появляется дьявол с очень необычным предложением. Темная сила обещает продлить умирающему жизнь, но в обмен за каждый дополнительный день одна вещь в мире будет исчезать бесследно... И вот начинается очень странная неделя, которая ставит молодого почтальона и его любимого кота на грань существования. С каждым исчезающим предметом почтальон размышляет о жизни, которую он прожил, о своих радостях и сожалениях, а также о людях, которых он любил и потерял.  Эта вневременная история от Гэнки Кавамуры (продюсера японского анимационного фильма «Твое имя») — трогательное повествование о потере, примирении, непростом выборе человека и его попытках понять, что действительно в жизни важно."
1,https://www.chitai-gorod.ru/product/kafe-na-krayu-zemli-2631217,https://content.img-gorod.ru/pim/products/images/e5/bf/018f5d90-5ff1-7b9b-b002-5ce6472ce5bf.jpg?width=304&height=438&fit=bounds,Джон Стрелеки,Кафе на краю земли,"№ 7 НЕМЕЦКОГО АМАЗОН! БОЛЕЕ 12 000 ВОСТОРЖЕННЫХ ОТЗЫВОВ! В РОССИИ ПРОДАНО БОЛЕЕ 200 000 ЭКЗЕМПЛЯРОВ!   После долгого блуждания в темноте и неизвестности всё, что вам нужно — зайти в уютное кафе, выбрать столик и раскрыть меню. Вместе с главным героем Джоном вы пройдете короткий, но полный удивительных открытий путь — путь к самому себе. Каждому из нас необходимо хоть раз остановиться посреди суеты и тревог современного мира и ответить на главный вопрос: «Почему я здесь?» Понять, что действительно значимо, увидеть цель своей жизни в дымке будущего и двигаться к ней, каждый день ощущая себя счастливым. Эта книга — мировой бестселлер, переведенный на 30 языков, — вдохновит вас на перемены, о которых сегодня вы можете только мечтать.    Об авторе  Джон П. Стрелеки — талантливый писатель, спикер и коуч. В 2002 году, будучи еще бизнес-консультантом, Джон с женой отправился в девятимесячное путешествие по миру. Этот опыт вдохновил его на написание первого бестселлера — «Кафе на краю земли». После его ошеломительного успеха было издано еще несколько книг автора, многие из которых стали бестселлерами."
2,https://www.chitai-gorod.ru/product/samyy-bogatyy-chelovek-v-vavilone-lvy-2949593,https://content.img-gorod.ru/pim/products/images/e8/2b/018f60c1-9f85-760a-aa1b-fb6aa420e82b.jpg?width=304&height=438&fit=bounds,Джорж Сэмюэль Клейсон,Самый богатый человек в Вавилоне (львы),"10 всемирно известных притч, которые полностью меняют ваше мышление. Оригинальная версия главной книги о богатстве теперь в самом полном и благозвучном переводе.  Все, что было написано о накоплении капитала после «Самого богатого человека в Вавилоне», лишь повторяет и развивает идеи Джона Клейсона, но принципиально нового не добавляет. Роберт Киосаки, Наполеон Хилл, Бодо Шефер — все они черпали мудрость из этого бестселлера. Книга переведена на 32 языка и издана в 56 странах мира. Продана тиражом больше 100 миллионов экземпляров (точный подсчет затруднен из-за невероятного количества переизданий).   Если вы ищете одну, самую полезную книгу о богатстве, это без сомнения «Самый богатый человек в Вавилоне».   В ней автор с помощью увлекательных историй объясняет, как:  • безболезненно избавиться от долгов, во много раз превышающих ежемесячный доход;  • скопить первичный капитал, который ляжет в основу будущего благосостояния;  • перестать быть рабом денег и заставить их работать на себя;  • заслужить уважение и глубочайшее почтение окружающих."
3,https://www.chitai-gorod.ru/product/tayna-mertvogo-rektora-kniga-1-3069312,https://content.img-gorod.ru/pim/products/images/d7/17/0193240a-e86c-7cd6-9bb1-da6f3ec0d717.jpg?width=304&height=438&fit=bounds,Виктор Дашкевич,Тайна мертвого ректора. Книга 1,"Продолжение культового цикла о расследованиях в магическом Петербурге!  После грандиозной и кровопролитной битвы граф Аверин с Кузей поступают на службу в Управление. Герои заслужили отдых, но даже в родном Петербурге настали не самые спокойные времена, а в довершение всего в московской колдовской Академии происходит несчастный случай: при странных обстоятельствах гибнет ректор, и на свободе оказывается сильнейший див. Но почему для расследования приглашают именно Гермеса Аверина? Кузя и Владимир тоже берутся за дело, но против главного подозреваемого улик нет. И что связывает его и Владимира?"
4,https://www.chitai-gorod.ru/product/tajna-mertvogo-rektora-kniga-2-3081612,https://content.img-gorod.ru/pim/products/images/26/eb/0193f7b1-7a67-7cde-bc20-8708856a26eb.jpg?width=304&height=438&fit=bounds,Виктор Дашкевич,Тайна мертвого ректора. Книга 2,"Раскройте загадочное убийство ректора московской колдовской Академии!  Расследование продолжается: мотив желать ректору смерти был у многих преподавателей и студентов. Владимир и Кузя, а также дивы Академии, активно помогают в поисках, круг подозреваемых растет, но добиться откровенности непросто — никто не готов раскрывать свои тайны. Кроме запутанного дела Гермеса Аверина беспокоят и планы бывшего императорского дива, который просит с ним встречи: слишком многое зависит от ее исхода. Чем закончится новое путешествие в Пустошь, которое определит не только судьбу империи, но и мира людей?"
5,https://www.chitai-gorod.ru/product/atomnye-privychki-kak-priobresti-horoshie-privychki-i-izbavitsya-ot-plohih-2770893,https://content.img-gorod.ru/pim/products/images/ba/75/01907869-f47e-754b-99ab-67ffd956ba75.jpg?width=304&height=438&fit=bounds,Джеймс Клир,Атомные привычки. Как приобрести хорошие привычки и избавиться от плохих,"Может ли одна монетка сделать человека богатым? Конечно, нет, скажете вы. Но если добавить еще одну? И еще? И еще? В какой-то момент количество перейдет в качество. А теперь представьте, что одно крошечное изменение кардинально меняет всю жизнь. Звучит фантастически! Но, как и в случае с монетками, срабатывает эффект сложного процента. И вот уже маленькое, но регулярное действие привело к большим результатам. Атомные привычки – маленькие изменения, в которых скрыта огромная мощь! Вы давно пытаетесь измениться, но не получается. Не корите себя! Виноваты не вы, а система. Джеймс Клир развенчивает мифы о привычках, мотивации и силе воли. Опираясь на научные данные, результаты исследований, личный опыт и опыт успешных людей, он просто и понятно объясняет, как сделать хорошие привычки неизбежными, а вредные – невозможными. Без вариантов!5 причин прочитать эту книгу:1. Бестселлер New York Times, бессменный лидер чартов Amazon2. Более миллиона человек уже прочитали эту книгу и меняют свою жизнь к лучшему!3. Вы не виноваты, что не можете отказаться от вредных привычек, виновата система. Книга расскажет, как заменить ее на другую4. Используя стратегию малых шагов, вы сможете добиться невероятных успехов5. Вы узнаете, как справиться с недостатком мотивации и силы воли и достичь любой цели"
6,https://www.chitai-gorod.ru/product/sistema-spasi-sebya-sam-dlya-glavnogo-zlodeya-tom-3-3070783,https://content.img-gorod.ru/pim/products/images/a2/61/0193aea2-6065-7726-8aef-e701940ea261.jpg?width=304&height=438&fit=bounds,Тунсю Мосян,Система «Спаси-Себя-Сам» для Главного Злодея. Том 3,"Чтобы спасти свою школу от уничтожения, Шэнь Цинцю согласился с требованиями Ло Бинхэ.Шэнь Цинцю жаждет вернуться к мирным дням, которые они с учеником вместе коротали на пике Цинцзин, но это невозможно. Ло Бинхэ превратился в настоящего Повелителя демонов, и теперь ему приходится противостоять собственному отцу.Чем дальше, тем больше секретов ""Пути Гордого Бессмертного Демона"" открывается Шэнь Цинцю... включая прошлое настоящего хозяина его тела. И он понимает, что должен принять Ло Бинхэ таким, какой он есть. Иначе они оба погибнут... А с ними, возможно, весь мир.Впервые на русском языке! Новый цикл популярнейшей китайской писательницы Мосян Тунсю, автора супербестселлера «Благословения небожителей». Огромная международная фанбаза автора насчитывает миллионы читателей. Прекрасное издание: ляссе, суперобложка, переплёт с софт-тач покрытием, тиснение двумя видами фольги, полосные цветные иллюстрации + мини-комикс, цветные чиби-иллюстрации. Иллюстрации от популярной художницы Djuney9 (более 39 тыс. подписчиков в ВК) и чибики от RACCUN (более 17 тыс. подписчиков в ВК)."
7,https://www.chitai-gorod.ru/product/horoshih-devochek-ne-ubivayut-2869323,https://content.img-gorod.ru/pim/products/images/95/0d/019309f9-68b8-7081-ac80-0a3fdb9e950d.jpg?width=304&height=438&fit=bounds,Холли Джексон,Хороших девочек не убивают,"Впервые на русском! Международный бестселлер, переведенный на 17 языков.Первая книга нашумевшей трилогии Холи Джексон.Увлекательный детективный триллер с неожиданными поворотами сюжета и непредсказуемым финалом для всех поклонников бестселлеров «Один из нас лжет» и «Девятый дом»."
8,https://www.chitai-gorod.ru/product/krut-3064043,https://content.img-gorod.ru/pim/products/images/65/7c/0191fed7-f4eb-79ce-9a4f-acacf784657c.jpg?width=304&height=438&fit=bounds,Виктор Пелевин,Круть,"Идет третий век Зеленой Эры. Имплант-коррекция «Открытого Мозга» превратила женщин в доминантный гендер, и в уголовной иерархии изменился баланс сил. На ее вершину поднялся фем-блатняк — безжалостные куры-заточницы. Противостоять им не может никто из биологических мужчин, но есть нюанс.   Маркус Зоргенфрей — лучший баночный оперативник «TRANSHUMANISM INC.». Задания, которые поручает ему адмирал-епископ Ломас, настолько чувствительны, что после них ему стирают память. Он не стал бы вникать в арестантские разборки, если бы не страшная опасность, нависшая над планетой.    Как связаны разрушенный Светом ад и Мезозой? Что такое магия высших духов? Почему древнее зло нашло себе новое воплощение в сибирской ветроколонии? При чем здесь могила Париса, демон Ахилла и в чем тайна зловещей Варвары Цугундер, которую куры-заточницы считают своим ментором уже сотни лет?  Остросюжетный триллер-детектив «Круть» даст ответ на многие мучительные вопросы, которых никто еще не решался задать."
9,https://www.chitai-gorod.ru/product/k-sebe-nezhno-kniga-o-tom-kak-cenit-i-berech-sebya-2820265,https://content.img-gorod.ru/pim/products/images/4f/ff/018f5e75-9c77-7858-b2d8-c39272ec4fff.jpg?width=304&height=438&fit=bounds,Ольга Примаченко,"К себе нежно. Книга о том, как ценить и беречь себя","КНИГА № 1 В РОССИИ*  *Согласно Всероссийскому книжному рейтингу.  «К себе нежно» — это книга для тех, кто выбирает себя. Для тех, кто долго не понимал и игнорировал свои желания. Сдерживал свои чувства. Не принимал свое тело. И никогда не знал, как это — праздновать свою уникальность. Но сегодня хочет стать себе другом.  Нежность к себе — это не результат волевого решения или однажды данного себе обещания, это всегда дорога. Пусть эта книга станет для вас проводником, если вы готовы с доброжелательным любопытством исследовать свои «не могу», «не хочу» и «не буду» и плыть не по течению и не против него — а туда, куда вам нужно.  «К себе нежно» можно открыть на любой странице и ощутить, как расслабляются плечи, становится легче дышать, проясняется в голове.   И по телу теплой волной разливается нежность к себе.   ОБ АВТОРЕ  Ольга Примаченко — писатель, журналист, автор блога Gnezdo.by. Живет и работает в Белоруссии."
