,Group,Group_link,pages,latest_page_number
0,Фэнтези,/genre/knigi-fentezi-5018/,200,99
1,Детективы,/genre/knigi-detektivy-5022/,200,99
2,"Боевики, остросюжетная литература",/genre/knigi-boeviki-ostrosugetnaya-5014/,200,99
3,Фантастика,/genre/knigi-fantastika-5004/,200,99
4,Любовные романы,/genre/knigi-lubovnye-romany-5005/,200,99
5,Современная проза,/genre/knigi-sovremennaya-proza-5015/,200,99
6,Классическая литература,/genre/klassicheskaya-literatura-5028/,200,99
7,Об истории серьезно,/genre/ob-istorii-serezno-201719/,200,99
8,Биографии и мемуары,/genre/biografii-memuary-5169/,200,99
9,"Cтихи, поэзия",/genre/stihi-poeziya-201711/,200,99
10,Популярно об истории,/genre/populyarno-ob-istorii-201727/,200,99
11,Книги о путешествиях,/genre/puteshestviyah-5094/,200,99
12,Биографии и мемуары,/genre/biografii-memuary-5169/,200,99
13,Исторические детективы,/genre/istoricheskie-5258/,194,99
14,Историческая литература,/genre/istoricheskaya-literatura-5209/,200,99
15,Личная эффективность,/genre/lichnaya-effektivnost-5064/,200,99
16,Менеджмент,/genre/menedzhment-5070/,200,99
17,О бизнесе популярно,/genre/o-biznese-populyarno-5058/,200,99
18,Зарубежная деловая литература,/genre/zarubezhnaya-delovaya-literatura-5061/,200,99
19,Тайм-менеджмент,/genre/taym-menedzhment-5065/,23,22
20,Саморазвитие / личностный рост,/genre/samorazvitiye-lichnostnyy-rost-5253/,200,99
21,Научно-популярная литература,/genre/nauchno-populyarnaya-literatura-5031/,200,99
22,Учебная и научная литература,/genre/uchebnaya-nauchnaya-literatura-5030/,200,99
23,Бизнес-книги,/genre/biznes-5003/,200,99
24,Истории из жизни,/genre/istorii-iz-zhizni-53055/,152,99
25,Книги по психологии,/genre/knigi-psihologiya-5021/,200,99
26,Саморазвитие / личностный рост,/genre/samorazvitiye-lichnostnyy-rost-5253/,200,99
27,Религия и духовная литература,/genre/religiya-duhovnaya-literatura-5012/,200,99
28,Биографии и мемуары,/genre/biografii-memuary-5169/,200,99
29,Истории из жизни,/genre/istorii-iz-zhizni-53055/,152,99
30,Медицина и здоровье,/genre/medicina-i-zdorove-201743/,200,99
31,Спорт,/genre/sport-201759/,200,99
32,Секс / секс-руководства,/genre/seksualnyye-rukovodstva-5310/,63,62
33,Красота,/genre/krasota-201767/,103,99
34,Йога,/genre/yoga-5179/,36,35
35,Кулинария,/genre/kulinariya-5275/,200,99
36,Хобби / увлечения,/genre/hobbi_uvlecheniya-5287/,200,99
37,Изобразительное искусство,/genre/izobrazitelnoe-iskusstvo-5236/,200,99
38,Рукоделие и ремесла,/genre/rukodeliye-remesla-5280/,200,99
39,Кулинария,/genre/kulinariya-5275/,200,99
40,Хобби / увлечения,/genre/hobbi_uvlecheniya-5287/,200,99
41,Домашнее хозяйство,/genre/domashnee-hozyaystvo-201807/,39,38
42,Рукоделие и ремесла,/genre/rukodeliye-remesla-5280/,200,99
43,Домашние животные,/genre/domashnie-zhivotnye-5279/,56,55
44,Зарубежные детские книги,/genre/zarubezhnye-5111/,200,99
45,Сказки,/genre/skazki-5106/,200,99
46,Книги для детей,/genre/children-6517/,200,99
47,Книги для дошкольников,/genre/knigi_doshkolniki-6610/,150,99
48,Книги для подростков,/genre/dlya-podrostkov-5105/,200,99
49,Воспитание детей,/genre/vospitanie-detey-5284/,200,99
50,Детская психология,/genre/detskaya-5254/,114,99
51,Детские книги,/genre/detskie-knigi-5007/,200,99
52,Здоровье детей,/genre/zdorovye-detey-201735/,36,35
53,Публицистическая литература,/genre/knigi-publicisticheskaya-literatura-5010/,200,99
54,Периодические издания,/genre/periodicheskie-izdaniya-5027/,200,99
55,Подкасты,/podcasts/,0,3
